Date,SPY,GLD,TLT,XLE,MSFT,JPM
2010-01-04,85.02794647216797,109.80000305175781,56.54690933227539,17.381088256835938,23.13006019592285,28.423927307128906
2010-01-05,85.25303649902344,109.69999694824219,56.912086486816406,17.52295684814453,23.13752555847168,28.974506378173828
2010-01-06,85.31301879882812,111.51000213623047,56.15019607543945,17.732799530029297,22.995527267456055,29.133689880371094
2010-01-07,85.67317199707031,110.81999969482422,56.24467086791992,17.706199645996094,22.756385803222656,29.710800170898438
2010-01-08,85.9582748413086,111.37000274658203,56.2194938659668,17.821453094482422,22.9133243560791,29.63783073425293
2010-01-11,86.07833862304688,112.8499984741211,55.91093063354492,17.797809600830078,22.621870040893555,29.538339614868164
2010-01-12,85.27558135986328,110.48999786376953,56.86797332763672,17.540685653686523,22.472402572631836,28.848464965820312
2010-01-13,85.995849609375,111.54000091552734,56.20686721801758,17.6057071685791,22.681650161743164,29.352602005004883
2010-01-14,86.22837829589844,112.02999877929688,56.99394226074219,17.65595245361328,23.13752555847168,29.64446258544922
2010-01-15,85.26055908203125,110.86000061035156,57.34649658203125,17.514089584350586,23.062793731689453,28.974506378173828
2010-01-19,86.325927734375,111.5199966430664,57.18280792236328,17.67367935180664,23.242155075073242,28.709156036376953
2010-01-20,85.44811248779297,108.94000244140625,57.76206588745117,17.39882469177246,22.861011505126953,28.788766860961914
2010-01-21,83.80502319335938,107.37000274658203,58.02653121948242,17.044164657592773,22.42755889892578,26.891620635986328
2010-01-22,81.93684387207031,107.16999816894531,57.92578887939453,16.639270782470703,21.642860412597656,25.97623062133789
2010-01-25,82.35700988769531,107.4800033569336,57.66135787963867,16.74863052368164,21.911893844604492,26.009384155273438
2010-01-26,82.01187133789062,107.55999755859375,57.680206298828125,16.642223358154297,22.046419143676758,25.498607635498047
2010-01-27,82.40201568603516,106.52999877929688,57.64876937866211,16.577207565307617,22.17346954345703,26.0889835357666
2010-01-28,81.45665740966797,106.4800033569336,57.61725616455078,16.402835845947266,21.792325973510742,26.188493728637695
2010-01-29,80.57135009765625,105.95999908447266,58.12092590332031,16.107288360595703,21.0599365234375,25.830291748046875
2010-02-01,81.82431030273438,108.3499984741211,57.59333801269531,16.639270782470703,21.23181915283203,26.287994384765625
2010-02-02,82.81466674804688,109.12999725341797,57.75764083862305,16.857973098754883,21.269187927246094,26.898252487182617
2010-02-03,82.40201568603516,108.69999694824219,57.08790969848633,16.71315574645996,21.396236419677734,26.725788116455078
2010-02-04,79.85861206054688,104.37000274658203,57.9914436340332,16.027488708496094,20.805845260620117,25.43891716003418
2010-02-05,80.02365112304688,104.68000030517578,58.1177864074707,16.030445098876953,20.940359115600586,25.405752182006836
2010-02-08,79.44596099853516,104.04000091552734,58.19363021850586,15.882671356201172,20.71615982055664,25.00774574279785
2010-02-09,80.44383239746094,105.41000366210938,57.612308502197266,16.216636657714844,20.932886123657227,25.4654541015625
2010-02-10,80.28623962402344,105.12000274658203,57.0626220703125,16.14866828918457,20.91794204711914,25.783849716186523
2010-02-11,81.12654113769531,107.12999725341797,56.752967834472656,16.423521041870117,21.01509666442871,25.883352279663086
2010-02-12,81.0590591430664,107.04000091552734,56.986759185791016,16.4294376373291,20.873098373413086,25.83692169189453
2010-02-16,82.3344955444336,109.62000274658203,57.094200134277344,16.816604614257812,21.286054611206055,26.579849243164062
2010-02-17,82.72463989257812,109.25,56.44340515136719,16.792959213256836,21.466249465942383,26.55995750427246
2010-02-18,83.21231079101562,109.9800033569336,56.21591567993164,16.88753318786621,21.75156593322754,26.805391311645508
2010-02-19,83.38485717773438,109.47000122070312,56.51918411254883,16.95255470275879,21.60140609741211,26.553308486938477
2010-02-22,83.39986419677734,109.06999969482422,56.28541564941406,16.719064712524414,21.571374893188477,27.097248077392578
2010-02-23,82.38699340820312,107.88999938964844,57.16368865966797,16.441259384155273,21.271039962768555,26.453826904296875
2010-02-24,83.14478302001953,107.36000061035156,57.30268478393555,16.544694900512695,21.496292114257812,27.097248077392578
2010-02-25,83.03224182128906,108.30999755859375,57.62497329711914,16.553560256958008,21.473766326904297,26.957965850830078
2010-02-26,83.0847396850586,109.43000030517578,57.92189407348633,16.591981887817383,21.526323318481445,27.840190887451172
2010-03-01,83.94756317138672,109.43000030517578,57.896549224853516,16.745670318603516,21.78911018371582,27.74733543395996
2010-03-02,84.1801528930664,111.0199966430664,57.820518493652344,16.88457679748535,21.368648529052734,27.608020782470703
2010-03-03,84.25517272949219,111.62999725341797,57.674747467041016,16.958463668823242,21.368648529052734,27.54832649230957
2010-03-04,84.51026153564453,110.83000183105469,57.978965759277344,16.869794845581055,21.496292114257812,27.807024002075195
2010-03-05,85.71823120117188,110.80999755859375,57.21831512451172,17.186037063598633,21.466249465942383,28.39740753173828
2010-03-08,85.73320770263672,109.87999725341797,56.920406341552734,17.1594295501709,21.496292114257812,28.25145721435547
2010-03-09,85.87572479248047,109.72000122070312,56.9330940246582,17.1594295501709,21.62392807006836,28.13869857788086
2010-03-10,86.25839233398438,108.47000122070312,56.78727722167969,17.310165405273438,21.75156593322754,28.47699737548828
2010-03-11,86.61851501464844,108.5999984741211,56.99647903442383,17.280609130859375,21.909244537353516,28.642826080322266
2010-03-12,86.62600708007812,107.94999694824219,57.3514289855957,17.289470672607422,21.97681999206543,28.622934341430664
2010-03-15,86.6485366821289,108.36000061035156,57.27539825439453,17.11214256286621,21.991836547851562,28.569854736328125
2010-03-16,87.33879089355469,110.4000015258789,57.731754302978516,17.26582908630371,22.051904678344727,28.682632446289062
